Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-1,7/3/2017 23:55,19.73,16.17,109.6,28.8
BTU-2,7/3/2017 23:55,20.86,16.29,96.1,32.4
BTU-1,7/3/2017 23:50,19.68,16.24,109.8,27.8
BTU-2,7/3/2017 23:50,20.81,16.29,97.5,32.4
BTU-1,7/3/2017 23:45,19.66,16.16,109.6,28.3
BTU-2,7/3/2017 23:45,20.82,16.24,95.9,32.4
BTU-1,7/3/2017 23:40,19.66,16.17,112.7,29
BTU-2,7/3/2017 23:40,20.85,16.21,96.2,32.9
BTU-1,7/3/2017 23:35,19.73,16.2,108.5,28.2
BTU-2,7/3/2017 23:35,21.03,16.25,97.7,34.4
BTU-1,7/3/2017 23:30,19.99,16.37,110.6,29.5
BTU-2,7/3/2017 23:30,21.02,16.53,96.6,32
BTU-1,7/3/2017 23:25,19.87,16.56,111.4,27.2
BTU-2,7/3/2017 23:25,20.73,16.59,97.1,29.6
BTU-1,7/3/2017 23:20,19.53,16.32,109.9,26
BTU-2,7/3/2017 23:20,20.34,16.29,96.4,28.7
BTU-1,7/3/2017 23:15,19.12,15.61,109.2,28.3
BTU-2,7/3/2017 23:15,20.31,15.6,96.2,33.4
BTU-1,7/3/2017 23:10,19.09,15.45,110.7,29.7
BTU-2,7/3/2017 23:10,20.27,15.53,97.3,34
BTU-1,7/3/2017 23:05,19.08,15.47,112.5,29.9
BTU-2,7/3/2017 23:05,20.29,15.51,97.3,34.4
BTU-1,7/3/2017 23:00,19.06,15.43,109.5,29.3
BTU-2,7/3/2017 23:00,20.33,15.52,96.9,34.4
BTU-1,7/3/2017 22:55,19.14,15.43,110.1,30.1
BTU-2,7/3/2017 22:55,20.36,15.53,96.1,34.2
BTU-1,7/3/2017 22:50,19.14,15.51,110.3,29.5
BTU-2,7/3/2017 22:50,20.42,15.59,95.9,34.2
BTU-1,7/3/2017 22:45,19.2,15.56,112.8,30.3
BTU-2,7/3/2017 22:45,20.48,15.62,97,34.8
BTU-1,7/3/2017 22:40,19.24,15.59,112.4,30.2
BTU-2,7/3/2017 22:40,20.53,15.7,96.2,34.3
BTU-1,7/3/2017 22:35,19.33,15.69,106.6,28.6
BTU-2,7/3/2017 22:35,20.6,15.79,96.6,34.3
BTU-1,7/3/2017 22:30,19.45,15.8,109.4,29.4
BTU-2,7/3/2017 22:30,20.7,15.92,96.9,34.2
BTU-1,7/3/2017 22:25,19.56,16.01,113.9,29.8
BTU-2,7/3/2017 22:25,20.79,16.09,96.5,33.4
BTU-1,7/3/2017 22:20,19.74,16.2,111.2,28.9
BTU-2,7/3/2017 22:20,20.66,16.29,96.6,31.1
BTU-1,7/3/2017 22:15,19.34,16.14,111.5,26.3
BTU-2,7/3/2017 22:15,20.36,16.29,97.2,29.2
BTU-1,7/3/2017 22:10,19.25,15.72,110.2,28.7
BTU-2,7/3/2017 22:10,20.39,15.78,96,32.6
BTU-1,7/3/2017 22:05,19.34,15.69,113.3,30.5
BTU-2,7/3/2017 22:05,20.51,15.82,97.2,33.6
BTU-1,7/3/2017 22:00,19.48,15.98,111.4,28.7
BTU-2,7/3/2017 22:00,20.39,16.01,97.3,31.4
BTU-1,7/3/2017 21:55,19.33,15.88,114.4,29.1
BTU-2,7/3/2017 21:55,20.04,15.96,95.9,28.9
BTU-1,7/3/2017 21:50,18.73,15.69,110,24.6
BTU-2,7/3/2017 21:50,19.7,15.58,95.7,29.1
BTU-1,7/3/2017 21:45,18.52,14.94,111,29.3
BTU-2,7/3/2017 21:45,19.7,14.99,96.9,33.6
BTU-1,7/3/2017 21:40,18.5,14.87,114.5,30.6
BTU-2,7/3/2017 21:40,19.69,14.98,97.2,33.8
BTU-1,7/3/2017 21:35,18.51,14.88,109.9,29.4
BTU-2,7/3/2017 21:35,19.71,14.98,96.8,33.8
BTU-1,7/3/2017 21:30,18.57,14.96,110,29.3
BTU-2,7/3/2017 21:30,19.76,15,97.4,34.2
BTU-1,7/3/2017 21:25,18.6,14.97,113.3,30.3
BTU-2,7/3/2017 21:25,19.77,15.08,96.8,33.5
BTU-1,7/3/2017 21:20,18.54,14.97,109.3,28.8
BTU-2,7/3/2017 21:20,19.76,15.09,97.4,33.5
BTU-1,7/3/2017 21:15,18.59,15.02,111.6,29.4
BTU-2,7/3/2017 21:15,19.79,15.09,95.9,33.3
BTU-1,7/3/2017 21:10,18.62,15.03,111.8,29.7
BTU-2,7/3/2017 21:10,19.83,15.1,97.4,34
BTU-1,7/3/2017 21:05,18.69,15.06,111.4,29.8
BTU-2,7/3/2017 21:05,19.87,15.15,97.7,34
BTU-1,7/3/2017 21:00,18.69,15.07,111.1,29.7
BTU-2,7/3/2017 21:00,19.89,15.2,97.1,33.6
BTU-1,7/3/2017 20:55,18.7,15.12,112.2,29.7
BTU-2,7/3/2017 20:55,19.91,15.21,96.8,33.6
BTU-1,7/3/2017 20:50,18.74,15.17,113.3,29.8
BTU-2,7/3/2017 20:50,19.94,15.24,96.4,33.4
BTU-1,7/3/2017 20:45,18.78,15.25,111.5,29
BTU-2,7/3/2017 20:45,19.95,15.34,96.4,32.8
BTU-1,7/3/2017 20:40,18.79,15.28,109.1,28.3
BTU-2,7/3/2017 20:40,19.96,15.34,96.2,32.8
BTU-1,7/3/2017 20:35,18.83,15.26,112.5,29.6
BTU-2,7/3/2017 20:35,20,15.39,96.4,32.7
BTU-1,7/3/2017 20:30,18.89,15.34,112.2,29.4
BTU-2,7/3/2017 20:30,20.03,15.42,95.6,32.5
BTU-1,7/3/2017 20:25,18.95,15.41,111.4,29.2
BTU-2,7/3/2017 20:25,20.03,15.5,96.5,32.2
BTU-1,7/3/2017 20:20,18.95,15.43,110.6,28.7
BTU-2,7/3/2017 20:20,20.04,15.49,97,32.5
